0x292929 0xb7b7b7 0xffffff 0x494949 0xd2d2d2 0x6c6c6c 0xdadada 0xc1c1c1 0xe1e1e1 0x4c4c4c |0x050505 0xd7d7d7 0xffffff 0x060606 0x8f8f8f 0x9a9a9a 0x3b3b3b 0xc7c7c7 0x1c1c1c 0x000000 |0xffffff 0x000000 0x101010 0xe8e8e8 0xc0c0c0 0xffffff 0x000000 0x404040 0x000000 0x181818 |0x474747 0x000000 0xb6b6b6 0x282828 0xffffff 0x272727 0x202020 0xa3a3a3 0xffffff 0x000000 |
0x2a2a2a 0xbdbdbd 0xffffff 0x4e4e4e 0xdbdbdb 0x626262 0xe3e3e3 0xc7c7c7 0xe0e0e0 0x484848 |0x060606 0xdadada 0xffffff 0x020202 0x9b9b9b 0x8d8d8d 0x3c3c3c 0xc8c8c8 0x1f1f1f 0x000000 |0xffffff 0x000000 0x0c0c0c 0xe5e5e5 0xc7c7c7 0xffffff 0x000000 0x383838 0x000000 0x131313 |0x3e3e3e 0x000000 0xcccccc 0x1f1f1f 0xffffff 0x313131 0x252525 0x6b6b6b 0xffffff 0x000000 |
0x2b2b2b 0xc2c2c2 0xffffff 0x545454 0xe4e4e4 0x585858 0xeaeaea 0xcdcdcd 0xdddddd 0x444444 |0x060606 0xdedede 0xffffff 0x010101 0xa5a5a5 0x747474 0x3e3e3e 0xc7c7c7 0x252525 0x000000 |0xffffff 0x000000 0x0a0a0a 0xe3e3e3 0xcecece 0xffffff 0x000000 0x323232 0x000000 0x0c0c0c |0x383838 0x000000 0xdedede 0x181818 0xffffff 0x393939 0x313131 0x525252 0xffffff 0x000000 |
0x2c2c2c 0xc7c7c7 0xffffff 0x595959 0xececec 0x4e4e4e 0xefefef 0xd3d3d3 0xd9d9d9 0x414141 |0x060606 0xe1e1e1 0xffffff 0x010101 0xaeaeae 0x696969 0x414141 0xc5c5c5 0x2f2f2f 0x000000 |0xffffff 0x000000 0x0a0a0a 0xe2e2e2 0xd5d5d5 0xffffff 0x000000 0x303030 0x000000 0x060606 |0x323232 0x000000 0xebebeb 0x161616 0xffffff 0x3d3d3d 0x434343 0x434343 0xffffff 0x000000 |
0x2e2e2e 0xcdcdcd 0xffffff 0x5e5e5e 0xf2f2f2 0x434343 0xf2f2f2 0xd7d7d7 0xd6d6d6 0x3d3d3d |0x050505 0xe5e5e5 0xffffff 0x030303 0xb6b6b6 0x626262 0x474747 0xc2c2c2 0x3a3a3a 0x000000 |0xffffff 0x000000 0x0b0b0b 0xe1e1e1 0xdcdcdc 0xffffff 0x000000 0x2f2f2f 0x000000 0x000000 |0x2d2d2d 0x000000 0xf3f3f3 0x181818 0xffffff 0x3b3b3b 0x636363 0x383838 0xffffff 0x000000 |
0x2f2f2f 0xd1d1d1 0xffffff 0x626262 0xf8f8f8 0x393939 0xf3f3f3 0xd9d9d9 0xd4d4d4 0x393939 |0x040404 0xe7e7e7 0xffffff 0x070707 0xbcbcbc 0x5b5b5b 0x4f4f4f 0xbfbfbf 0x484848 0x000000 |0xffffff 0x000000 0x0e0e0e 0xe2e2e2 0xe1e1e1 0xffffff 0x000000 0x313131 0x000000 0x000000 |0x292929 0x000000 0xf7f7f7 0x1e1e1e 0xffffff 0x363636 0xa5a5a5 0x2d2d2d 0xffffff 0x000000 |
0x313131 0xd6d6d6 0xffffff 0x656565 0xfcfcfc 0x313131 0xf2f2f2 0xd9d9d9 0xd3d3d3 0x343434 |0x030303 0xe9e9e9 0xffffff 0x0b0b0b 0xc1c1c1 0x555555 0x5a5a5a 0xbdbdbd 0x545454 0x000000 |0xffffff 0x000000 0x101010 0xe3e3e3 0xe6e6e6 0xffffff 0x000000 0x373737 0x000000 0x000000 |0x242424 0x000000 0xf7f7f7 0x272727 0xffffff 0x2f2f2f 0xbcbcbc 0x242424 0xffffff 0x000000 |
0x333333 0xdadada 0xffffff 0x676767 0xffffff 0x292929 0xf0f0f0 0xd6d6d6 0xd4d4d4 0x313131 |0x010101 0xebebeb 0xffffff 0x111111 0xc6c6c6 0x4e4e4e 0x6a6a6a 0xbcbcbc 0x5d5d5d 0x000000 |0xffffff 0x000000 0x141414 0xe5e5e5 0xeaeaea 0xffffff 0x050505 0x404040 0x000000 0x030303 |0x1e1e1e 0x000000 0xf4f4f4 0x333333 0xffffff 0x292929 0xc8c8c8 0x1c1c1c 0xffffff 0x060606 |
0x353535 0xdedede 0xffffff 0x676767 0xffffff 0x222222 0xededed 0xd0d0d0 0xd5d5d5 0x2f2f2f |0x000000 0xebebeb 0xffffff 0x171717 0xcacaca 0x484848 0x8d8d8d 0xbababa 0x606060 0x000000 |0xffffff 0x000000 0x191919 0xe7e7e7 0xececec 0xffffff 0x090909 0x4d4d4d 0x000000 0x080808 |0x171717 0x000000 0xeeeeee 0x3f3f3f 0xffffff 0x252525 0xcccccc 0x171717 0xffffff 0x0e0e0e |
0x373737 0xe1e1e1 0xffffff 0x666666 0xffffff 0x1d1d1d 0xe8e8e8 0xc9c9c9 0xd6d6d6 0x303030 |0x000000 0xeaeaea 0xffffff 0x1d1d1d 0xcdcdcd 0x414141 0x9d9d9d 0xb8b8b8 0x5c5c5c 0x000000 |0xffffff 0x000000 0x1e1e1e 0xeaeaea 0xececec 0xffffff 0x0a0a0a 0x606060 0x000000 0x0c0c0c |0x0f0f0f 0x000000 0xe7e7e7 0x494949 0xffffff 0x242424 0xcbcbcb 0x141414 0xffffff 0x101010 |
